Stride_Length_m,Gait_Speed_ms,Stride_Time_s,MTC_m
0.09260406489593496,0.09260406489593496,1.0,0.0015144851650470414
0.0501805780765423,0.05120467150667581,0.98,0.00020789181008495916
0.09128132298588101,0.08949149312341276,1.02,0.0006636797337513656
0.06749237933306981,0.06817412053845436,0.99,0.001481942364922162
0.05751660814237547,0.05751660814237547,1.0,0.00015757810348659973
0.09441858276758303,0.09537230582584144,0.99,0.00025206187341719755
0.05886894337177053,0.05606566035406717,1.05,0.00029166917793332914
0.08616552052229239,0.0805285238526097,1.07,0.003129719357294114
0.06731459322424384,0.06535397400412023,1.03,0.0005829946824578158
0.06907832394157941,0.07271402520166254,0.95,0.00019248104603342142
0.10395050028437273,0.09199159317201128,1.13,0.001858978842231629
0.06464280579126212,0.06733625603256471,0.96,8.22309683732314e-05
0.06722127929586227,0.07002216593318987,0.96,0.0015187935355118753
0.067326765277363,0.07087027923932948,0.95,0.0011463881868420955
0.07154715945596951,0.07226985803633285,0.99,0.0005672225142552278
0.07806014838725936,0.08131265457006183,0.96,0.00038962038916245945
0.05188202516598097,0.05461265806945365,0.95,0.0004120605832866886
0.08932693829166795,0.09402835609649259,0.95,0.0003247186040722383
0.06635065511992268,0.07134479045152976,0.93,0.005737397572493919
0.04143648771104723,0.04655785136072722,0.89,0.00016658560324245286
0.08650572438035631,0.06976268095190025,1.24,0.000722174279773391
0.06931946058044543,0.06189237551825484,1.12,0.0009201628373967097
0.07207598616737858,0.06864379634988435,1.05,0.0008519364204335744
0.07460494942781581,0.07314210728217237,1.02,0.00034371829164125955
0.06908283679118048,0.0664258046069043,1.04,0.001369595774465715
0.0862893797947807,0.0837760968881366,1.03,0.0005298032054623647
0.07761179494276071,0.07684336132946605,1.01,0.0008896979986694475
0.0674271592357797,0.06610505807429383,1.02,0.0003446039592081007
0.06736483525963437,0.0666978566927073,1.01,0.000277708727901782
0.06952969988474782,0.06952969988474782,1.0,0.0004253118505550546
0.0651356557041197,0.0651356557041197,1.0,0.0013598708013962124
0.07869942517808312,0.07869942517808312,1.0,0.0001283110580558855
0.06507985746657893,0.06318432763745527,1.03,0.001566118307379405
0.0581811401227061,0.060605354294485526,0.96,0.0014705513169275264
0.08916569274515698,0.08916569274515698,1.0,0.0004884197389696254
0.05639417487208872,0.05754507640009053,0.98,0.0016484496611735011
0.06648395916028683,0.06648395916028683,1.0,0.0010366707645550477
0.06921227749275075,0.06991139140681893,0.99,0.001058112144932899
0.07334957349522905,0.07191134656395005,1.02,0.0008754068598229026
0.07008016904995915,0.06870604808819523,1.02,0.001024237170395459
0.06987506557083568,0.06918323323845117,1.01,0.000220960642903556
0.07695500778773756,0.0732904836073691,1.05,0.0005240616718111824
