Stride_Length_m,Gait_Speed_ms,Stride_Time_s,MTC_m
0.559129670270849,0.5225510937110738,1.07,0.03031803278362505
0.5703683161325869,0.5647211050817692,1.01,0.023523655408235034
0.6768396975011166,0.6635683308834477,1.02,0.02413161439813541
0.7268336096592009,0.7416669486318376,0.98,0.02088132478334004
0.7189743519823492,0.7489316166482805,0.96,0.017650222882884314
0.7594845944575647,0.7911297858932965,0.96,0.03937896091574061
0.7563562771387407,0.7563562771387407,1.0,0.055576964659140304
0.6974353644705982,0.7116687392557124,0.98,0.03344605460250577
0.7452837775044567,0.7306703701024085,1.02,0.013787562204057913
0.700060285955856,0.72922946453735,0.96,0.010645044474697385
0.7497806716433507,0.7279423996537385,1.03,0.011896328411201695
0.6535050009522518,0.6470346544081701,1.01,0.010818387808189112
0.5634242491746541,0.574922703239443,0.98,0.009614615887166278
0.5079956462867223,0.5237068518419818,0.97,0.025167023692935997
0.4794619358671896,0.46102109217999,1.04,0.03675199543548313
0.4588294743329037,0.4454655090610716,1.03,0.02000848727651483
0.5402507774356302,0.5402507774356302,1.0,0.013601414870264672
0.6087101201010942,0.5967746275500923,1.02,0.009639622718066065
0.5914118336287931,0.5973856905341345,0.99,0.021164877335007604
0.6351924534776707,0.6166917024055055,1.03,0.02435605614463654
0.6849734767592564,0.6523556921516727,1.05,0.023092552786091014
0.6749929659878708,0.6683098673147236,1.01,0.014621859684806449
0.7318022947943235,0.6969545664707842,1.05,0.009652596988174333
0.7884904481040946,0.7369069608449482,1.07,0.015108833429394508
0.822994577998533,0.799023862134498,1.03,0.0011455824032039486
0.7275300090514389,0.720326741635088,1.01,0.00038656118427360386
0.7015599694118396,0.6946138311008313,1.01,0.0009475897186155269
0.7110024759933804,0.6970612509739024,1.02,0.01930663985093739
0.6958126078663476,0.6755462212294636,1.03,0.0512522864942111
0.6766889948397061,0.6569796066404914,1.03,0.07645035709588899
0.7994829397217236,0.7268026724742941,1.1,0.10388159550969256
0.7623385737232704,0.60026659348289,1.27,0.11974829121191055
0.5321546301399853,0.5166549807184323,1.03,0.10224377170380472
0.5674627279263305,0.4977743227423952,1.14,0.02720143767231953
0.5433202669022691,0.5077759503759524,1.07,0.0023551019632894743
0.5962447863077938,0.5788784333085376,1.03,0.0014115708456934328
0.6269744308108163,0.6028600296257849,1.04,0.0012943598635144493
0.5457069208996295,0.5350067851957152,1.02,0.0002215492472030789
0.49369040583357676,0.48880238201344234,1.01,0.000656463745877911
0.5057829434227507,0.5007751915076739,1.01,0.007173385706574775
0.5683090471364459,0.5626822248875702,1.01,0.015475147776163656
0.7163447213227729,0.7163447213227729,1.0,0.027779942484077447
0.8454493576243856,0.8454493576243856,1.0,0.021452660625098874
0.8443693468840807,0.836009254340674,1.01,0.013285403650091787
0.7497673926067008,0.757340800612829,0.99,0.020919898356524635
0.674460492748972,0.6882249926009919,0.98,0.03670433085173119
0.682252057655659,0.7033526367584113,0.97,0.04256362738172803
0.683758651797733,0.6906653048461949,0.99,0.05603511481655543
0.6685798742208134,0.6753332062836499,0.99,0.059426558873288515
0.7011931117002153,0.7011931117002153,1.0,0.04787803369223442
0.7316816497910898,0.7390723735263534,0.99,0.05794349318028735
0.6472659424914455,0.6885807898845165,0.94,0.04623319673866999
0.5388520878239753,0.5231573668193935,1.03,0.020499545047867773
0.4547375479984764,0.4547375479984764,1.0,0.0026852822225140738
0.481184300940218,0.481184300940218,1.0,0.0006999383801691295
0.5216420766872754,0.5114138006737994,1.02,0.00020477715485767156
0.5750081025440671,0.5808162651960274,0.99,0.009785080337019636
0.6582308243131109,0.6582308243131109,1.0,0.01228979700573496
0.6956824094741905,0.6887944648259311,1.01,0.015272571650497113
0.7098195875813925,0.7098195875813925,1.0,0.01092462082764234
0.6786670761824124,0.685522299174154,0.99,0.016663002211399602
0.6078033288726266,0.62660136997178,0.97,0.025230031010877063
0.6181194874678663,0.6243631186544104,0.99,0.03132464912991506
0.6374343829367178,0.6438731140774928,0.99,0.022219895803348155
0.6268389013889403,0.6529571889468128,0.96,0.019361266713539882
0.6341713624293928,0.6537849097210234,0.97,0.023796947539294955
0.6247773996831155,0.6646568081735272,0.94,0.0334022684065558
0.6722445995537611,0.6859638770956746,0.98,0.05372037521317852
0.716942732062821,0.6828026019645914,1.05,0.05403333907223429
0.5997852992936774,0.5880248032290954,1.02,0.04815915195052245
0.5237374594778458,0.5344259790590263,0.98,0.015996991200264432
0.5332092523482636,0.5127012041810226,1.04,0.005674846156282776
0.4830152198453761,0.4830152198453761,1.0,0.00823559326179657
0.47691154653982837,0.48664443524472284,0.98,0.0006126110461042167
0.5701976774312013,0.5590173308149032,1.02,0.007369721469865809
0.5742831164370984,0.5800839559970691,0.99,0.02004232494043867
0.6346217361242129,0.6346217361242129,1.0,0.012625155442067992
0.7242400547124435,0.73155561082065,0.99,0.010418469558584498
0.8341065755465715,0.7943872148062585,1.05,0.023672231005241517
0.9168953143890766,0.8569115087748379,1.07,0.061649597781307186
0.9666514699237371,0.9384965727414922,1.03,0.028792019695258908
0.9315304587962148,0.9805583776802261,0.95,0.039096261464402815
1.0749840980304541,0.9513133610888975,1.13,0.07128564146585026
0.6672885660293902,0.6950922562806149,0.96,0.018993033967872552
0.493325508984648,0.5138807385256751,0.96,0.0003591204568866857
0.45128298246896903,0.47503471838838845,0.95,0.0009309896267661877
0.5474400699446681,0.5529697676208769,0.99,0.00036149355847880926
0.5324228871240919,0.5546071740875957,0.96,0.0011885848485357897
0.376627028617674,0.3964495038080779,0.95,0.002062246483050423
0.3425408141776475,0.3605692780817342,0.95,0.007726720165583956
0.20927881803545978,0.22503098713490297,0.93,0.07590698191581735
0.13437048076901095,0.15097806827978758,0.89,0.11232908966122324
0.4040195488896442,0.32582221684648727,1.24,0.08799712065262355
0.7571480151115085,0.6760250134924183,1.12,0.13887355200805374
0.937017550610862,0.8923976672484399,1.05,0.0019011956300598598
1.1114604766173406,1.0896671339385693,1.02,0.0015410988528623548
1.1541732036289578,1.1097819265663056,1.04,0.0006947248061468514
1.031899571587975,1.00184424426017,1.03,0.002535084395949294
0.8130397050008309,0.8049898069315158,1.01,0.013352280654318704
0.7233106121718658,0.709128051148888,1.02,0.0064777948701535415
0.6604657784868138,0.6539265133532809,1.01,0.0003033740346829461
0.6191519776917994,0.6191519776917994,1.0,0.001727132180868729
0.5914569090863657,0.5914569090863657,1.0,0.016031234830118368
0.5874732607089148,0.5874732607089148,1.0,0.022662110984013495
0.5765065226174951,0.5597150705024224,1.03,0.040295584955164276
0.5468112852971577,0.569595088851206,0.96,0.026788570639980414
0.6535707566568033,0.6535707566568033,1.0,0.0037055221754083156
0.5960711063672097,0.6082358228236834,0.98,0.020369487754184235
0.5955232936821353,0.5955232936821353,1.0,0.03415196753544869
0.5964751130386251,0.6025001141804294,0.99,0.04710078499325476
0.6139442807836892,0.6019061576310679,1.02,0.053628178502095114
0.5750736823444695,0.5637977277886956,1.02,0.05494928194393811
0.5975401334779181,0.5916238945325922,1.01,0.040100918311901435
0.6803667903778168,0.647968371788397,1.05,0.038136933890019264
0.7291438727181078,0.721924626453572,1.01,0.0359235811453944
0.7265080206401813,0.7413347149389605,0.98,0.021336690299658567
0.7410479680376931,0.7337108594432605,1.01,0.010323721478346926
0.7606576659872067,0.7531264019675314,1.01,0.002724058285027642
0.7178375525632156,0.7324872985338935,0.98,0.00032857151164833454
0.6564500780197978,0.6630808868886847,0.99,0.00016681970275733704
0.6353812046053213,0.6168749559274964,1.03,0.001141803944820996
0.6013612989286465,0.6074356554834813,0.99,0.0049106311344808695
0.5302357784734905,0.5640806153973303,0.94,0.008411396558783757
0.4574316800033297,0.48150703158245234,0.95,0.009650578577025115
0.4083964520302319,0.41673107350023664,0.98,0.040913979342507734
0.4820678557322474,0.4726155448355367,1.02,0.05392564129505972
0.5487619595538091,0.5543050096503123,0.99,0.055962733340855664
0.6134200836495373,0.6196162461106437,0.99,0.04666649584118865
0.6963447417448303,0.6695622516777214,1.04,0.04320140488406565
0.6750689345516498,0.6683850837145048,1.01,0.033575365051921935
0.6985878621967505,0.6782406429094665,1.03,0.017760555570096148
0.6859364699375916,0.6928651211490824,0.99,0.01536799213680018
0.7426091971972759,0.7280482325463489,1.02,0.01623805659394595
0.7445090490529694,0.7371376723296728,1.01,0.020574536934713006
0.8058110363610087,0.7259558886135213,1.11,0.015225348542122763
0.8245993537698029,0.742882300693516,1.11,0.009563351240431839
0.7463862564717834,0.7389962935364192,1.01,0.009663449877982622
0.8132203724876658,0.7529818263774682,1.08,0.005466328230511852
